,odasc,oob,pbsa,humla-effort-auto,humla-effort-1
brackets,5.0,1.0,4.0,3.0,2.0
BroadleafCommerce,5.0,4.0,1.0,3.0,2.0
camel,5.0,1.0,4.0,2.0,3.0
corefx-v-6.2,4.0,5.0,3.0,1.0,2.0
django,5.0,4.0,1.0,3.0,2.0
elasticsearch,5.0,4.0,1.0,3.0,2.0
fabric8,4.0,5.0,3.0,1.0,2.0
godot,5.0,4.0,1.0,3.0,2.0
vscode,4.0,5.0,3.0,1.0,2.0
pytorch,5.0,4.0,1.0,3.0,2.0
spring-boot,5.0,4.0,3.0,2.0,1.0
node,5.0,1.0,4.0,2.0,3.0
nova,5.0,4.0,1.0,3.0,2.0
tomcat,1.0,5.0,4.0,3.0,2.0
pandas,5.0,4.0,1.0,2.0,3.0
security,5.0,4.0,3.0,1.0,2.0
rails,5.0,4.0,1.0,3.0,2.0
rust,2.0,3.0,1.0,5.0,4.0
wp-calypso,5.0,4.0,1.0,3.0,2.0
npm,1.0,5.0,4.0,3.0,2.0
Mybatis3,1.0,3.0,2.0,4.0,5.0
tensorflow,5.0,1.0,4.0,3.0,2.0
cross_project,4.181818181818182,3.590909090909091,2.3181818181818183,2.590909090909091,2.3181818181818183
