,Wilcoxon,a12
brackets,0.0,0.33616384618480694
BroadleafCommerce,0.0,0.3733965549240299
camel,2.0510602056567877e-224,0.49091325459180524
corefx-v-6.2,0.0,0.3971413862539788
django,1.3385651683748418e-59,0.4956671447282436
elasticsearch,0.0,0.3363577690806584
fabric8,1.965870997144675e-98,0.48603781989073047
godot,0.0,0.3573598700726485
vscode,0.0,0.3481998288715944
pytorch,5.537412971365271e-213,0.4951799241730543
spring-boot,0.0,0.33555357936342967
node,0.0,0.477189917294612
nova,0.0,0.363136380770014
tomcat,1.1175918341364416e-20,0.499665758848598
pandas,0.0,0.47231676788083665
security,1.2684520162496642e-270,0.4630932150805132
rails,0.0,0.427306045639515
rust,0.0,0.28680851099673377
wp-calypso,0.0,0.47880701638621753
npm,2.5011854696902263e-30,0.49299321630787113
Mybatis3,3.589651420006843e-37,0.47484264870400006
tensorflow,0.0,0.35653723940710547
