,Percentage,Zero_Norm,L_1_Norm,L_2_Norm,Spearman_correlation,Pearson_correlation
fix,0.0,0,0.0,0.0,1.0,1.0
ns,0.0,0,0.0,0.0,0.9999999999999998,1.0
nd,0.0,0,0.0,0.0,1.0,1.0
nf,0.0,0,0.0,0.0,1.0,1.0
entrophy,0.0,0,0.0,0.0,1.0,0.9999999999999999
la,0.0,0,0.0,0.0,1.0,0.9999999999999999
ld,0.0,0,0.0,0.0,1.0,1.0000000000000002
lt,0.06326034063260341,234,18.812570962642596,16101.972088330058,0.9050991820502227,0.9331855779735682
ndev,0.06001622060016221,222,1.871316572046499,69.59015950256826,0.8691359441616536,0.900745932478915
age,0.09164639091646391,339,8.222337881680401,3803.8859566832193,0.8403638087756246,0.934880636737854
nuc,0.10921870775885374,404,8.065423087320898,12253.272235739389,0.9105069520759322,0.9828157881125612
exp,0.0,0,0.0,0.0,1.0,0.9999999999999999
rexp,0.08542849418761828,316,555.2326791192324,19319789.65175511,0.9382397151229608,0.3788022483207142
sexp,0.0,0,0.0,0.0,1.0,0.9999999999999999
