,Percentage,Zero_Norm,L_1_Norm,L_2_Norm,Spearman_correlation,Pearson_correlation
fix,0.0,0,0.0,0.0,1.0,1.0000000000000002
ns,0.0,0,0.0,0.0,1.0,0.9999999999999998
nd,0.0,0,0.0,0.0,1.0,1.0
nf,0.0,0,0.0,0.0,1.0,1.0
entrophy,0.0,0,0.0,0.0,1.0,0.9999999999999999
la,0.0,0,0.0,0.0,1.0,0.9999999999999998
ld,0.0,0,0.0,0.0,1.0,1.0
lt,0.01185619581845997,372,4.310745539477016,3996.8526951973995,0.9841992419974229,0.9933571249999333
ndev,0.01035823559408465,325,0.46516445690973995,27.0238717491076,0.990024002317108,0.9993162679692802
age,0.010262621111677715,322,0.4950574640663195,99.2759076531208,0.9855006479540965,0.9977337340098479
nuc,0.012525497195308516,393,1.4299145843957164,881.6372705252422,0.9828623451435856,0.9979102753624901
exp,0.0,0,0.0,0.0,1.0,0.9999999999999999
rexp,0.00959331973482917,301,0.08528593445428233,33.76703651347321,0.9876729448173421,0.9998837890795171
sexp,0.0,0,0.0,0.0,0.9999999999999998,0.9999999999999999
