,Percentage,Zero_Norm,L_1_Norm,L_2_Norm,Spearman_correlation,Pearson_correlation
fix,0.0,0,0.0,0.0,1.0,1.0
ns,0.0,0,0.0,0.0,1.0,0.9999999999999998
nd,0.0,0,0.0,0.0,1.0,1.0
nf,0.0,0,0.0,0.0,0.9999999999999999,1.0
entrophy,0.0,0,0.0,0.0,1.0,1.0
la,0.0,0,0.0,0.0,1.0,1.0
ld,0.0,0,0.0,0.0,1.0,1.0
lt,0.05196520118067423,669,6.425496059812681,3909.5483213191233,0.9562644105469291,0.9957958471355327
ndev,0.03922634767748951,505,0.5007767593599503,7.969007301537983,0.9941548047430707,0.9905619109495718
age,0.04738232095696753,610,0.7948732401662717,68.99326023340221,0.9140143730360389,0.985805594439175
nuc,0.058956035420226816,759,1.8897778468230542,902.8697374553363,0.95889077711406,0.9998256953711208
exp,0.0,0,0.0,0.0,0.9999999999999999,1.0
rexp,0.04722696908497748,608,2.142196762550409,24198.193302943684,0.9480120642722114,0.9988187879937711
sexp,0.0,0,0.0,0.0,1.0,1.0000000000000002
