,Percentage,Zero_Norm,L_1_Norm,L_2_Norm,Spearman_correlation,Pearson_correlation
fix,0.0,0,0.0,0.0,1.0,1.0
ns,0.0,0,0.0,0.0,0.9999999999999998,0.9999999999999999
nd,0.0,0,0.0,0.0,1.0,1.0
nf,0.0,0,0.0,0.0,1.0,1.0
entrophy,0.0,0,0.0,0.0,1.0,1.0
la,0.0,0,0.0,0.0,1.0,0.9999999999999998
ld,0.0,0,0.0,0.0,1.0,1.0000000000000002
lt,0.05951431135932981,2387,34.314169739589865,77325.36358541809,0.920750983536553,0.9844820907041723
ndev,0.051012266879425554,2046,5.369627007080882,740.492445397427,0.9925332858382327,0.9954750494471765
age,0.04472923107609454,1794,1.8923936904862273,496.7784717675436,0.9501923066092842,0.9882236591965927
nuc,0.06233170439812506,2500,15.771392240949437,58476.601151889896,0.9171418609900589,0.9754694696353116
exp,0.0,0,0.0,0.0,0.9999999999999999,1.0
rexp,0.04181210731026229,1677,0.47070840106724493,624.4395804050629,0.9466258807447073,0.9996117007560422
sexp,0.0,0,0.0,0.0,1.0,0.9999999999999998
