,Percentage,Zero_Norm,L_1_Norm,L_2_Norm,Spearman_correlation,Pearson_correlation
fix,0.0,0,0.0,0.0,1.0,1.0
ns,0.0,0,0.0,0.0,1.0,1.0
nd,0.0,0,0.0,0.0,1.0,1.0
nf,0.0,0,0.0,0.0,1.0,0.9999999999999999
entrophy,0.0,0,0.0,0.0,0.9999999999999998,1.0
la,0.0,0,0.0,0.0,1.0,1.0000000000000002
ld,0.0,0,0.0,0.0,1.0,1.0
lt,0.022375423318819546,185,2.746096354936032,785.2562441213678,0.9770543261197266,0.9994626540672191
ndev,0.023101112723754234,191,0.155418480890179,3.1745283018867925,0.9823448195984503,0.9989584455180598
age,0.010522496371552975,87,0.35284758267167865,32.51877999699722,0.981764562915569,0.9984071413656866
nuc,0.02539912917271408,210,2.9427914852443156,1504.3748185776487,0.9782818078845108,0.9975854154353216
exp,0.0,0,0.0,0.0,1.0,1.0
rexp,0.010280599903241412,85,0.6550547834650556,607.4641146689048,0.990407568311851,0.9996672567976623
sexp,0.0,0,0.0,0.0,1.0,1.0
