,Percentage,Zero_Norm,L_1_Norm,L_2_Norm,Spearman_correlation,Pearson_correlation
fix,0.0,0,0.0,0.0,0.9999999999999999,1.0
ns,0.0,0,0.0,0.0,1.0,0.9999999999999998
nd,0.0,0,0.0,0.0,1.0,1.0000000000000002
nf,0.0,0,0.0,0.0,1.0,1.0000000000000002
entrophy,0.0,0,0.0,0.0,1.0,1.0
la,0.0,0,0.0,0.0,1.0,1.0
ld,0.0,0,0.0,0.0,1.0,1.0
lt,0.007965214714483608,207,0.5528980982600417,400.1322342657672,0.9991083259480275,0.999830253303169
ndev,0.0010389410497152532,27,0.0273972602739726,0.8931045097737417,0.9965245278372163,0.995857051678195
age,0.005194705248576266,135,0.4303234849181011,103.11360272455597,0.9929578289807885,0.9987511008270495
nuc,0.008388486993997229,218,0.8974141911651532,3153.822687394182,0.9979886566671747,0.9990153570049501
exp,0.0,0,0.0,0.0,0.9999999999999999,1.0
rexp,0.005194705248576266,135,1.5389300320753942,5043.57307593778,0.9949412403154636,0.9985688756676505
sexp,0.0,0,0.0,0.0,1.0,1.0
